feature_name
home_country
source_currency
dest_currency
channel
amount_usd
fee
new_device
ip_country
location_mismatch
ip_risk_score
kyc_tier
account_age_days
device_trust_score
chargeback_history_count
risk_score_internal
txn_velocity_1h
txn_velocity_24h
corridor_risk
is_weekend
is_night
time_of_day
currency_pair
High risk device
ip_usage_count
velocity_ratio
fee_ratio
amount_velocity_interaction
device_ip_risk
new_device_velocity
amount_usd_capped
new_device_high_velocity
young_account_high_amount
ip_location_risk
